seed, mutant, status
1098885946, 2400, SURVIVED
1098885946, 2401, SURVIVED
1098885944, 2400, SURVIVED
1098885903, 2401, SURVIVED
1098885903, 2400, SURVIVED
1098885944, 2401, SURVIVED
1098885954, 2400, SURVIVED
1098885954, 2401, SURVIVED
1098885921, 2400, SURVIVED
1098885921, 2401, SURVIVED
1098885904, 2400, SURVIVED
1098885904, 2401, SURVIVED
1098885979, 2401, SURVIVED
1098885943, 2400, SURVIVED
1098885943, 2401, SURVIVED
1098885914, 2400, SURVIVED
1098885914, 2401, SURVIVED
1098885900, 2401, SURVIVED
1098885900, 2400, SURVIVED
1098885984, 2401, SURVIVED
1098885979, 2400, SURVIVED
1098885984, 2400, SURVIVED
1098885970, 2400, SURVIVED
1098885970, 2401, SURVIVED
1098885960, 2400, SURVIVED
1098885960, 2401, SURVIVED
1098885929, 2401, SURVIVED
1098885929, 2400, SURVIVED
1098885967, 2400, SURVIVED
1098885976, 2401, SURVIVED
1098885976, 2400, SURVIVED
1098885967, 2401, SURVIVED
1098885947, 2401, SURVIVED
1098885947, 2400, SURVIVED
1098885908, 2401, SURVIVED
1098885908, 2400, SURVIVED
13893342, 2400, SURVIVED
13893342, 2401, SURVIVED
13893375, 2400, SURVIVED
13893375, 2401, SURVIVED
13893334, 2401, SURVIVED
13893319, 2400, SURVIVED
13893319, 2401, SURVIVED
13893334, 2400, SURVIVED
13893363, 2400, SURVIVED
13893363, 2401, SURVIVED
13893314, 2401, SURVIVED
13893318, 2400, SURVIVED
13893318, 2401, SURVIVED
13893314, 2400, SURVIVED
13893321, 2401, SURVIVED
13893361, 2400, SURVIVED
13893321, 2400, SURVIVED
13893361, 2401, SURVIVED
13893316, 2400, SURVIVED
13893316, 2401, SURVIVED
13893343, 2400, SURVIVED
13893343, 2401, SURVIVED
13893345, 2401, SURVIVED
13893345, 2400, SURVIVED
13893303, 2400, SURVIVED
13893381, 2401, SURVIVED
13893303, 2401, SURVIVED
13893381, 2400, SURVIVED
13893394, 2400, SURVIVED
13893394, 2401, SURVIVED
13893395, 2400, SURVIVED
13893395, 2401, SURVIVED
13893308, 2401, SURVIVED
13893339, 2400, SURVIVED
13893339, 2401, SURVIVED
13893308, 2400, SURVIVED
13893382, 2401, SURVIVED
13893382, 2400, SURVIVED
13893336, 2401, SURVIVED
13893322, 2400, SURVIVED
13893330, 2400, SURVIVED
13893330, 2401, SURVIVED
13893336, 2400, SURVIVED
13893322, 2401, SURVIVED
13893384, 2400, SURVIVED
13893384, 2401, SURVIVED
13893388, 2401, SURVIVED
13893388, 2400, SURVIVED
13893328, 2400, SURVIVED
13893328, 2401, SURVIVED
13893366, 2401, SURVIVED
13893366, 2400, SURVIVED
13893373, 2401, SURVIVED
13893373, 2400, SURVIVED
13893391, 2401, SURVIVED
13893391, 2400, SURVIVED
3615178788, 2400, SURVIVED
3615178788, 2401, SURVIVED
3615178702, 2400, SURVIVED
3615178702, 2401, SURVIVED
3615178717, 2401, SURVIVED
3615178733, 2401, SURVIVED
3615178717, 2400, SURVIVED
3615178733, 2400, SURVIVED
3615178713, 2401, SURVIVED
3615178713, 2400, SURVIVED
3615178778, 2401, SURVIVED
