seed, mutant, status
2388658519, 4614, SURVIVED
2388658519, 4667, SURVIVED
2388658519, 10672, SURVIVED
2388658519, 860, SURVIVED
2388658519, 621, SURVIVED
2388658519, 10641, SURVIVED
2388658519, 171, SURVIVED
2388658519, 10476, SURVIVED
2388658519, 139, SURVIVED
2388658519, 4665, SURVIVED
2388658519, 595, SURVIVED
2388658519, 2823, SURVIVED
2388658519, 176, SURVIVED
2388658519, 162, SURVIVED
2388658519, 145, SURVIVED
2388658519, 4664, SURVIVED
2388658519, 589, SURVIVED
2388658519, 28, SURVIVED
2388658519, 10640, SURVIVED
2388658519, 170, SURVIVED
2388658519, 212, SURVIVED
2388658519, 177, SURVIVED
2388658519, 10656, SURVIVED
2388658519, 60, SURVIVED
2388658519, 480, SURVIVED
2388658519, 180, SURVIVED
2388658519, 147, SURVIVED
2388658519, 448, SURVIVED
2388658519, 148, SURVIVED
2388658519, 179, SURVIVED
2388658519, 144, SURVIVED
2388658519, 138, SURVIVED
2388658519, 4674, SURVIVED
2388658519, 4672, SURVIVED
2388658519, 4671, SURVIVED
2388658519, 4670, SURVIVED
2388658519, 4669, SURVIVED
2388658519, 13516, SURVIVED
2388658519, 13515, SURVIVED
2388658519, 13534, SURVIVED
2388658519, 4675, SURVIVED
2388658519, 13540, SURVIVED
2388658519, 13539, SURVIVED
2388658519, 13537, KILLED_FAILED
2388658519, 13518, SURVIVED
2388658519, 13579, KILLED_FAILED
2388658519, 13542, KILLED_FAILED
2388658519, 13583, KILLED_FAILED
2388658519, 13578, SURVIVED
2388658519, 13580, KILLED_FAILED
2388658519, 13587, SURVIVED
2388658519, 13589, KILLED_FAILED
2388658519, 13585, SURVIVED
2388658519, 13582, KILLED_FAILED
2388658519, 13581, KILLED_FAILED
2388658519, 13590, KILLED_FAILED
2388658519, 13586, SURVIVED
2388658519, 13593, KILLED_FAILED
2388658519, 13591, SURVIVED
2388658519, 13592, SURVIVED
2388658519, 13594, KILLED_FAILED
2388658519, 13588, SURVIVED
2388658519, 13595, KILLED_FAILED
2388658519, 13596, KILLED_FAILED
2388658519, 7660, SURVIVED
2388658519, 10673, SURVIVED
2388658504, 589, SURVIVED
2388658504, 145, SURVIVED
2388658504, 176, SURVIVED
2388658504, 177, SURVIVED
2388658504, 28, SURVIVED
2388658504, 144, SURVIVED
2388658504, 4664, SURVIVED
