seed, mutant, status
2625849202, 1286, SURVIVED
2625849202, 1288, SURVIVED
2625849201, 2687, SURVIVED
2625849201, 2684, SURVIVED
2625849201, 2633, SURVIVED
2625849201, 2612, SURVIVED
2625849201, 2678, SURVIVED
2625849201, 1286, SURVIVED
2625849201, 2634, SURVIVED
2625849201, 2667, SURVIVED
2625849201, 2632, SURVIVED
2625849201, 2686, SURVIVED
2625849201, 2625, SURVIVED
2625849201, 1288, SURVIVED
2625849201, 2595, SURVIVED
2625849201, 2631, SURVIVED
2625849201, 2646, SURVIVED
2625849201, 2695, SURVIVED
2625849201, 2635, SURVIVED
2625849220, 1288, SURVIVED
2625849201, 2630, SURVIVED
2625849220, 1286, SURVIVED
2625849213, 2632, SURVIVED
2625849213, 2595, SURVIVED
2625849213, 2612, SURVIVED
2625849213, 2634, SURVIVED
2625849213, 2630, SURVIVED
2625849213, 1288, SURVIVED
2625849213, 1286, SURVIVED
2625849213, 2631, SURVIVED
2625849213, 2625, SURVIVED
2625849213, 2633, SURVIVED
2625849213, 2667, SURVIVED
2625849213, 2635, SURVIVED
2625849213, 2646, SURVIVED
2625849213, 2684, SURVIVED
2625849213, 2678, SURVIVED
2625849213, 2686, SURVIVED
2625849213, 2695, SURVIVED
2625849213, 2687, SURVIVED
2625849207, 2631, SURVIVED
2625849207, 2634, SURVIVED
2625849207, 2633, SURVIVED
2625849207, 2612, SURVIVED
2625849207, 2630, SURVIVED
2625849207, 2632, SURVIVED
2625849207, 2625, SURVIVED
2625849207, 2678, SURVIVED
2625849207, 2595, SURVIVED
2625849207, 2687, SURVIVED
2625849227, 2612, SURVIVED
2625849207, 2667, SURVIVED
2625849207, 2686, SURVIVED
2625849207, 2646, SURVIVED
2625849207, 2684, SURVIVED
2625849207, 2635, SURVIVED
2625849227, 2625, SURVIVED
2625849227, 1286, SURVIVED
2625849227, 1288, SURVIVED
2625849227, 2632, SURVIVED
2625849227, 2595, SURVIVED
2625849227, 2630, SURVIVED
2625849227, 2631, SURVIVED
2625849207, 2695, SURVIVED
2625849227, 2633, SURVIVED
2625849227, 2634, SURVIVED
2625849227, 2635, SURVIVED
2625849227, 2646, SURVIVED
2625849234, 1288, SURVIVED
2625849234, 2595, SURVIVED
2625849227, 2678, SURVIVED
2625849227, 2667, SURVIVED
2625849227, 2684, SURVIVED
2625849234, 1286, SURVIVED
2625849227, 2686, SURVIVED
2625849234, 2612, SURVIVED
2625849234, 2667, SURVIVED
2625849234, 2678, SURVIVED
2625849234, 2633, SURVIVED
2625849227, 2687, SURVIVED
2625849234, 2625, SURVIVED
2625849234, 2631, SURVIVED
2625849234, 2646, SURVIVED
2625849234, 2630, SURVIVED
2625849234, 2632, SURVIVED
2625849227, 2695, SURVIVED
2625849234, 2634, SURVIVED
2625849234, 2684, SURVIVED
2625849234, 2687, SURVIVED
2625849234, 2695, SURVIVED
2625849234, 2635, SURVIVED
2625849234, 2686, SURVIVED
2625849226, 2612, SURVIVED
2625849226, 1288, SURVIVED
2625849226, 1286, SURVIVED
2625849226, 2595, SURVIVED
2625849226, 2625, SURVIVED
2625849226, 2630, SURVIVED
2625849226, 2631, SURVIVED
2625849226, 2632, SURVIVED
2625849226, 2634, SURVIVED
2625849226, 2633, SURVIVED
2625849226, 2635, SURVIVED
2625849226, 2667, SURVIVED
2625849226, 2686, SURVIVED
2625849226, 2678, SURVIVED
2625849226, 2695, SURVIVED
2625849226, 2687, SURVIVED
2625849226, 2684, SURVIVED
2625849226, 2646, SURVIVED
2625849222, 2631, SURVIVED
2625849222, 2630, SURVIVED
2625849222, 2646, SURVIVED
2625849222, 2595, SURVIVED
2625849222, 2625, SURVIVED
2625849222, 2612, SURVIVED
2625849222, 1286, SURVIVED
2625849222, 2632, SURVIVED
2625849222, 1288, SURVIVED
2625849222, 2634, SURVIVED
2625849222, 2667, SURVIVED
2625849222, 2635, SURVIVED
2625849252, 1286, SURVIVED
2625849222, 2684, SURVIVED
2625849222, 2633, SURVIVED
2625849252, 2595, SURVIVED
2625849252, 1288, SURVIVED
2625849222, 2678, SURVIVED
2625849222, 2686, SURVIVED
2625849252, 2612, SURVIVED
2625849252, 2630, SURVIVED
2625849252, 2625, SURVIVED
2625849222, 2687, SURVIVED
2625849252, 2632, SURVIVED
2625849252, 2631, SURVIVED
2625849222, 2695, SURVIVED
2625849252, 2633, SURVIVED
2625849252, 2634, SURVIVED
2625849252, 2635, SURVIVED
2625849252, 2646, SURVIVED
2625849252, 2678, SURVIVED
2625849252, 2686, SURVIVED
2625849259, 1286, SURVIVED
2625849252, 2684, SURVIVED
2625849252, 2667, SURVIVED
2625849259, 2625, SURVIVED
2625849259, 1288, SURVIVED
2625849252, 2687, SURVIVED
2625849259, 2595, SURVIVED
2625849259, 2630, SURVIVED
2625849259, 2631, SURVIVED
2625849259, 2612, SURVIVED
2625849259, 2632, SURVIVED
2625849252, 2695, SURVIVED
2625849259, 2633, SURVIVED
2625849259, 2634, SURVIVED
2625849259, 2635, SURVIVED
2625849259, 2686, SURVIVED
2625849259, 2667, SURVIVED
2625849259, 2684, SURVIVED
2625849259, 2678, SURVIVED
2625849259, 2646, SURVIVED
2625849259, 2687, SURVIVED
2625849259, 2695, SURVIVED
2625849254, 1286, SURVIVED
2625849254, 2595, SURVIVED
2625849254, 2612, SURVIVED
2625849254, 2631, SURVIVED
2625849254, 2625, SURVIVED
2625849254, 2630, SURVIVED
2625849254, 1288, SURVIVED
2625849254, 2632, SURVIVED
2625849254, 2633, SURVIVED
2625849254, 2635, SURVIVED
2625849254, 2646, SURVIVED
2625849254, 2667, SURVIVED
2625849254, 2634, SURVIVED
2625849254, 2678, SURVIVED
2625849254, 2686, SURVIVED
2625849254, 2695, SURVIVED
2625849254, 2687, SURVIVED
2625849254, 2684, SURVIVED
2625849245, 2595, SURVIVED
2625849229, 2612, SURVIVED
2625849245, 1286, SURVIVED
2625849229, 1286, SURVIVED
2625849229, 2631, SURVIVED
2625849245, 1288, SURVIVED
2625849229, 2634, SURVIVED
2625849229, 2595, SURVIVED
2625849229, 2632, SURVIVED
2625849229, 2678, SURVIVED
2625849229, 2630, SURVIVED
2625849245, 2632, SURVIVED
2625849229, 1288, SURVIVED
2625849245, 2625, SURVIVED
2625849229, 2646, SURVIVED
2625849229, 2635, SURVIVED
2625849229, 2625, SURVIVED
2625849229, 2667, SURVIVED
2625849229, 2633, SURVIVED
2625849245, 2630, SURVIVED
2625849245, 2612, SURVIVED
2625849245, 2635, SURVIVED
2625849245, 2631, SURVIVED
2625849245, 2646, SURVIVED
2625849245, 2633, SURVIVED
2625849245, 2634, SURVIVED
2625849245, 2667, SURVIVED
2625849245, 2678, SURVIVED
2625849229, 2687, SURVIVED
2625849229, 2695, SURVIVED
2625849229, 2684, SURVIVED
2625849229, 2686, SURVIVED
2625849245, 2687, SURVIVED
2625849245, 2686, SURVIVED
2625849245, 2684, SURVIVED
2625849245, 2695, SURVIVED
2625849218, 1288, SURVIVED
2625849218, 1286, SURVIVED
2625849218, 2631, SURVIVED
2625849218, 2595, SURVIVED
2625849218, 2612, SURVIVED
2625849218, 2625, SURVIVED
2625849218, 2630, SURVIVED
2625849218, 2632, SURVIVED
2625849218, 2633, SURVIVED
2625849218, 2667, SURVIVED
2625849218, 2634, SURVIVED
2625849218, 2635, SURVIVED
2625849218, 2646, SURVIVED
2625849218, 2678, SURVIVED
2625849218, 2684, SURVIVED
2625849218, 2686, SURVIVED
2625849218, 2687, SURVIVED
2625849218, 2695, SURVIVED
2625849217, 2612, SURVIVED
2625849217, 1286, SURVIVED
2625849217, 2595, SURVIVED
2625849217, 2630, SURVIVED
2625849217, 2633, SURVIVED
2625849217, 2632, SURVIVED
2625849217, 2631, SURVIVED
2625849217, 1288, SURVIVED
2625849217, 2634, SURVIVED
2625849217, 2625, SURVIVED
2625849277, 1286, SURVIVED
2625849277, 1288, SURVIVED
2625849217, 2635, SURVIVED
2625849217, 2667, SURVIVED
2625849217, 2646, SURVIVED
2625849217, 2678, SURVIVED
2625849217, 2686, SURVIVED
2625849209, 1286, SURVIVED
2625849217, 2684, SURVIVED
2625849209, 1288, SURVIVED
2625849209, 2595, SURVIVED
2625849209, 2631, SURVIVED
2625849209, 2625, SURVIVED
2625849209, 2632, SURVIVED
2625849209, 2635, SURVIVED
2625849209, 2634, SURVIVED
2625849217, 2695, SURVIVED
2625849217, 2687, SURVIVED
2625849209, 2630, SURVIVED
2625849209, 2633, SURVIVED
2625849209, 2612, SURVIVED
2625849209, 2646, SURVIVED
2625849209, 2667, SURVIVED
2625849209, 2678, SURVIVED
2625849209, 2684, SURVIVED
2625849230, 1288, SURVIVED
2625849209, 2687, SURVIVED
2625849209, 2686, SURVIVED
2625849230, 1286, SURVIVED
2625849209, 2695, SURVIVED
2625849215, 1288, SURVIVED
2625849215, 1286, SURVIVED
2625849215, 2595, SURVIVED
2625849215, 2612, SURVIVED
2625849215, 2625, SURVIVED
2625849215, 2631, SURVIVED
2625849215, 2630, SURVIVED
2625849215, 2632, SURVIVED
2625849215, 2633, SURVIVED
2625849211, 1286, SURVIVED
2625849211, 1288, SURVIVED
2625849211, 2595, SURVIVED
2625849215, 2634, SURVIVED
2625849211, 2631, SURVIVED
2625849211, 2630, SURVIVED
2625849211, 2612, SURVIVED
2625849211, 2625, SURVIVED
2625849215, 2635, SURVIVED
2625849211, 2632, SURVIVED
2625849215, 2646, SURVIVED
2625849215, 2667, SURVIVED
2625849215, 2678, SURVIVED
2625849286, 1286, SURVIVED
2625849215, 2686, SURVIVED
2625849286, 1288, SURVIVED
2625849215, 2695, SURVIVED
2625849211, 2633, SURVIVED
2625849215, 2687, SURVIVED
2625849215, 2684, SURVIVED
2625849211, 2635, SURVIVED
2625849211, 2678, SURVIVED
2625849211, 2667, SURVIVED
2625849211, 2634, SURVIVED
2625849211, 2646, SURVIVED
2625849211, 2684, SURVIVED
2625849211, 2686, SURVIVED
2625849211, 2687, SURVIVED
2625849211, 2695, SURVIVED
2625849203, 2595, SURVIVED
2625849203, 2612, SURVIVED
2625849203, 2625, SURVIVED
2625849203, 2630, SURVIVED
2625849203, 2631, SURVIVED
2625849203, 2632, SURVIVED
2625849203, 2635, SURVIVED
2625849203, 2633, SURVIVED
2625849203, 2667, SURVIVED
2625849203, 2634, SURVIVED
2625849203, 2678, SURVIVED
2625849203, 2686, SURVIVED
