seed, mutant, status
569386314, 9741, SURVIVED
569386314, 9739, SURVIVED
569386314, 10181, SURVIVED
569386314, 9986, SURVIVED
569386314, 9746, SURVIVED
569386300, 9744, SURVIVED
569386300, 9741, SURVIVED
569386300, 9739, SURVIVED
569386314, 9747, SURVIVED
569386300, 9737, SURVIVED
569386314, 9735, SURVIVED
569386300, 9986, SURVIVED
569386314, 9737, SURVIVED
569386314, 10177, SURVIVED
569386314, 9743, SURVIVED
569386314, 10178, SURVIVED
569386300, 9735, SURVIVED
569386314, 9983, SURVIVED
569386300, 9746, SURVIVED
569386300, 9983, SURVIVED
569386300, 9743, SURVIVED
569386300, 10177, SURVIVED
569386300, 10178, SURVIVED
569386314, 9744, SURVIVED
569386300, 10181, SURVIVED
569386307, 9986, SURVIVED
569386307, 9741, SURVIVED
569386300, 9747, SURVIVED
569386307, 9739, SURVIVED
569386307, 9983, SURVIVED
569386307, 9737, SURVIVED
569386307, 9735, SURVIVED
569386307, 9743, SURVIVED
569386307, 9747, SURVIVED
569386307, 10181, SURVIVED
569386307, 10177, SURVIVED
569386307, 10178, SURVIVED
569386307, 9744, SURVIVED
569386307, 9746, SURVIVED
569386321, 8918, SURVIVED
569386321, 8952, SURVIVED
569386321, 10181, SURVIVED
569386321, 8920, SURVIVED
569386321, 8921, SURVIVED
569386321, 8954, SURVIVED
569386321, 8924, SURVIVED
569386321, 8950, SURVIVED
569386321, 155, SURVIVED
569386321, 8916, SURVIVED
569386321, 8925, SURVIVED
569386321, 8948, SURVIVED
569386321, 8919, SURVIVED
569386321, 8923, SURVIVED
569386321, 8953, SURVIVED
569386321, 8927, SURVIVED
569386321, 8956, SURVIVED
569386321, 10178, SURVIVED
569386321, 8960, SURVIVED
569386321, 8957, SURVIVED
569386321, 8962, SURVIVED
569386321, 8955, SURVIVED
569386321, 8959, SURVIVED
569386321, 8951, SURVIVED
569386321, 9986, SURVIVED
569386321, 8961, SURVIVED
569386321, 8963, SURVIVED
569386321, 8965, SURVIVED
569386321, 9983, SURVIVED
569386321, 10177, SURVIVED
569386321, 8964, SURVIVED
569386321, 8966, SURVIVED
569386321, 7176, SURVIVED
569386321, 9735, SURVIVED
569386321, 7178, SURVIVED
569386321, 7180, SURVIVED
569386321, 7179, SURVIVED
569386303, 9986, SURVIVED
569386321, 9737, SURVIVED
569386346, 155, SURVIVED
569386321, 9746, SURVIVED
569386321, 9739, SURVIVED
569386321, 9743, SURVIVED
569386321, 9741, SURVIVED
569386303, 155, SURVIVED
569386321, 9744, SURVIVED
569386346, 9986, SURVIVED
569386321, 9747, SURVIVED
569386303, 7176, SURVIVED
569386303, 9983, SURVIVED
569386346, 10178, SURVIVED
569386303, 9972, SURVIVED
569386346, 10177, SURVIVED
569386303, 9739, SURVIVED
569386303, 9746, SURVIVED
569386303, 9737, SURVIVED
569386303, 10177, SURVIVED
569386303, 10178, SURVIVED
569386303, 7178, SURVIVED
569386303, 9735, SURVIVED
569386303, 7179, SURVIVED
569386303, 10181, SURVIVED
569386303, 7180, SURVIVED
569386346, 9983, SURVIVED
569386303, 9744, SURVIVED
569386346, 10181, SURVIVED
569386303, 9741, SURVIVED
569386303, 9743, SURVIVED
569386303, 9747, SURVIVED
569386346, 7176, SURVIVED
569386346, 7179, SURVIVED
569386346, 7180, SURVIVED
569386346, 7178, SURVIVED
569386346, 9735, SURVIVED
569386346, 9737, SURVIVED
569386346, 9739, SURVIVED
569386346, 9743, SURVIVED
569386346, 9744, SURVIVED
569386346, 9741, SURVIVED
569386346, 9747, SURVIVED
569386346, 9746, SURVIVED
569386335, 155, SURVIVED
569386335, 10178, SURVIVED
569386335, 8916, SURVIVED
569386335, 10181, SURVIVED
569386335, 8918, SURVIVED
569386335, 8921, SURVIVED
569386335, 8925, SURVIVED
569386335, 8920, SURVIVED
569386335, 8919, SURVIVED
569386335, 8923, SURVIVED
569386335, 8948, SURVIVED
569386335, 8924, SURVIVED
569386335, 8927, SURVIVED
569386335, 8950, SURVIVED
569386335, 8951, SURVIVED
569386335, 8953, SURVIVED
569386335, 8952, SURVIVED
569386335, 8954, SURVIVED
569386312, 9747, SURVIVED
569386335, 8963, SURVIVED
569386335, 8965, SURVIVED
569386335, 8964, SURVIVED
569386335, 8955, SURVIVED
569386335, 8962, SURVIVED
569386335, 8957, SURVIVED
569386335, 8956, SURVIVED
569386335, 8959, SURVIVED
569386335, 8961, SURVIVED
569386335, 8960, SURVIVED
569386312, 7179, SURVIVED
569386312, 9739, SURVIVED
569386312, 9735, SURVIVED
569386312, 9986, SURVIVED
569386335, 8966, SURVIVED
569386312, 155, SURVIVED
569386335, 9986, SURVIVED
569386312, 7178, SURVIVED
569386335, 7179, SURVIVED
569386312, 7180, SURVIVED
569386312, 9746, SURVIVED
569386312, 9741, SURVIVED
569386335, 10177, SURVIVED
569386335, 9983, SURVIVED
569386312, 9737, SURVIVED
569386312, 9983, SURVIVED
569386335, 9737, SURVIVED
569386312, 9743, SURVIVED
569386312, 7176, SURVIVED
569386312, 9744, SURVIVED
569386335, 9744, SURVIVED
569386335, 9735, SURVIVED
569386335, 7176, SURVIVED
569386335, 7178, SURVIVED
569386335, 7180, SURVIVED
569386335, 9741, SURVIVED
569386335, 9743, SURVIVED
569386335, 9739, SURVIVED
569386335, 9747, SURVIVED
569386335, 9746, SURVIVED
569386378, 9739, SURVIVED
569386378, 9735, SURVIVED
569386378, 9741, SURVIVED
569386378, 9743, SURVIVED
569386378, 9737, SURVIVED
569386378, 9744, SURVIVED
569386378, 9983, SURVIVED
