seed, mutant, status
3504082168, 201, SURVIVED
3504082168, 200, SURVIVED
3504082168, 197, SURVIVED
3504082186, 201, SURVIVED
3504082186, 200, SURVIVED
3504082186, 197, SURVIVED
3504082130, 201, SURVIVED
3504082130, 200, SURVIVED
3504082130, 197, SURVIVED
3504082197, 229, SURVIVED
3504082197, 197, SURVIVED
3504082197, 200, SURVIVED
3504082197, 201, SURVIVED
3504082125, 636, SURVIVED
3504082125, 315, SURVIVED
3504082125, 232, SURVIVED
3504082125, 197, SURVIVED
3504082125, 233, SURVIVED
3504082125, 374, SURVIVED
3504082125, 201, SURVIVED
3504082125, 371, SURVIVED
3504082125, 356, SURVIVED
3504082125, 339, SURVIVED
3504082125, 342, SURVIVED
3504082125, 341, SURVIVED
3504082125, 229, SURVIVED
3504082125, 370, SURVIVED
3504082125, 200, SURVIVED
3504082125, 338, SURVIVED
3504082125, 324, SURVIVED
3504082125, 313, SURVIVED
3504082172, 197, SURVIVED
3504082172, 200, SURVIVED
3504082172, 201, SURVIVED
3504082125, 373, SURVIVED
3504082197, 281, SURVIVED
3504082197, 232, SURVIVED
3504082197, 233, SURVIVED
3504082197, 283, SURVIVED
3504082197, 313, SURVIVED
3504082197, 315, SURVIVED
3504082197, 338, SURVIVED
3504082197, 324, SURVIVED
3504082197, 339, SURVIVED
3504082197, 341, SURVIVED
3504082197, 342, SURVIVED
3504082197, 356, SURVIVED
3504082197, 370, SURVIVED
3504082197, 371, SURVIVED
3504082197, 636, SURVIVED
3504082197, 373, SURVIVED
3504082197, 374, SURVIVED
3504082158, 197, SURVIVED
3504082158, 200, SURVIVED
3504082158, 201, SURVIVED
3504082158, 229, SURVIVED
3504082158, 232, SURVIVED
3504082158, 233, SURVIVED
3504082158, 281, SURVIVED
3504082158, 283, SURVIVED
3504082158, 313, SURVIVED
3504082158, 315, SURVIVED
3504082158, 324, SURVIVED
3504082158, 338, SURVIVED
3504082158, 339, SURVIVED
3504082158, 341, SURVIVED
3504082158, 342, SURVIVED
3504082158, 356, SURVIVED
3504082158, 370, SURVIVED
3504082158, 371, SURVIVED
3504082158, 373, SURVIVED
3504082158, 374, SURVIVED
3504082123, 229, SURVIVED
3504082123, 201, SURVIVED
3504082123, 200, SURVIVED
3504082123, 232, SURVIVED
3504082123, 313, SURVIVED
3504082123, 233, SURVIVED
3504082158, 636, SURVIVED
3504082123, 324, SURVIVED
3504082123, 281, SURVIVED
3504082123, 197, SURVIVED
3504082123, 315, SURVIVED
3504082123, 283, SURVIVED
3504082123, 341, SURVIVED
3504082123, 338, SURVIVED
3504082123, 339, SURVIVED
3504082123, 342, SURVIVED
3504082123, 374, SURVIVED
3504082123, 356, SURVIVED
3504082123, 371, SURVIVED
3504082123, 370, SURVIVED
3504082123, 373, SURVIVED
3504082123, 636, SURVIVED
3504082155, 197, SURVIVED
3504082155, 200, SURVIVED
3504082155, 201, SURVIVED
3504082155, 233, SURVIVED
3504082155, 232, SURVIVED
3504082155, 313, SURVIVED
3504082155, 229, SURVIVED
3504082155, 373, SURVIVED
3504082155, 283, SURVIVED
3504082155, 315, SURVIVED
3504082155, 370, SURVIVED
3504082155, 342, SURVIVED
3504082155, 339, SURVIVED
3504082155, 324, SURVIVED
3504082155, 374, SURVIVED
3504082155, 338, SURVIVED
3504082155, 281, SURVIVED
3504082155, 341, SURVIVED
3504082155, 636, SURVIVED
3504082155, 356, SURVIVED
3504082155, 371, SURVIVED
171003062, 200, SURVIVED
171003062, 313, SURVIVED
171003062, 201, SURVIVED
171003062, 229, SURVIVED
171003062, 233, SURVIVED
171003062, 232, SURVIVED
171003062, 197, SURVIVED
171003062, 315, SURVIVED
171003062, 338, SURVIVED
171003062, 324, SURVIVED
171003062, 339, SURVIVED
171003062, 341, SURVIVED
171003062, 342, SURVIVED
171003062, 370, SURVIVED
171003062, 371, SURVIVED
171003062, 356, SURVIVED
171003062, 374, SURVIVED
171003062, 373, SURVIVED
171003062, 636, SURVIVED
171003005, 636, SURVIVED
171003005, 341, SURVIVED
171003005, 342, SURVIVED
171003005, 200, SURVIVED
171003005, 197, SURVIVED
171003005, 315, SURVIVED
