seed, mutant, status
2975336306, 153, SURVIVED
2975336306, 156, SURVIVED
2975336306, 152, SURVIVED
2975336306, 155, SURVIVED
2975336310, 8713, SURVIVED
2975336306, 151, SURVIVED
2975336306, 150, SURVIVED
2975336306, 159, SURVIVED
2975336310, 8239, SURVIVED
2975336310, 8237, SURVIVED
2975336310, 8745, SURVIVED
2975336306, 154, SURVIVED
2975336306, 149, SURVIVED
2975336303, 8713, SURVIVED
2975336303, 8239, SURVIVED
2975336303, 8237, SURVIVED
2975336303, 8745, SURVIVED
2975336318, 8237, SURVIVED
2975336330, 3980, SURVIVED
2975336330, 8713, SURVIVED
2975336330, 8745, SURVIVED
2975336318, 8239, SURVIVED
2975336330, 3978, SURVIVED
2975336330, 3977, SURVIVED
2975336330, 3987, SURVIVED
2975336318, 8745, SURVIVED
2975336330, 3979, SURVIVED
2975336330, 8239, SURVIVED
2975336330, 8237, SURVIVED
2975336318, 8713, SURVIVED
2975336330, 3989, SURVIVED
2975336330, 3982, SURVIVED
2975336330, 3988, SURVIVED
2975336330, 3986, SURVIVED
2975336330, 3985, SURVIVED
2975336330, 3983, SURVIVED
2975336335, 8237, SURVIVED
2975336335, 8745, SURVIVED
2975336335, 8713, SURVIVED
2975336335, 8239, SURVIVED
2975336382, 8237, SURVIVED
2975336338, 8239, SURVIVED
2975336338, 8237, SURVIVED
2975336338, 8713, SURVIVED
2975336338, 8745, SURVIVED
2975336382, 8239, SURVIVED
2975336382, 8745, SURVIVED
2975336382, 8713, SURVIVED
2975336312, 150, SURVIVED
2975336312, 152, SURVIVED
2975336312, 149, SURVIVED
2975336312, 151, SURVIVED
2975336319, 8713, SURVIVED
2975336312, 153, SURVIVED
2975336319, 8239, SURVIVED
2975336323, 170, SURVIVED
2975336319, 8237, SURVIVED
2975336319, 8745, SURVIVED
2975336323, 173, SURVIVED
2975336312, 154, SURVIVED
2975336312, 156, SURVIVED
2975336312, 155, SURVIVED
2975336312, 159, SURVIVED
2975336312, 182, SURVIVED
2975336323, 175, SURVIVED
2975336312, 177, SURVIVED
2975336312, 179, SURVIVED
2975336312, 170, SURVIVED
2975336323, 177, SURVIVED
2975336312, 178, SURVIVED
2975336323, 179, SURVIVED
2975336312, 184, SURVIVED
2975336312, 181, SURVIVED
2975336312, 183, SURVIVED
2975336323, 181, SURVIVED
2975336323, 182, SURVIVED
2975336323, 178, SURVIVED
2975336323, 183, SURVIVED
2975336323, 184, SURVIVED
2975336323, 8237, SURVIVED
2975336323, 3977, SURVIVED
2975336323, 8713, SURVIVED
2975336323, 8239, SURVIVED
2975336323, 8745, SURVIVED
2975336323, 3979, SURVIVED
2975336323, 3980, SURVIVED
2975336323, 3978, SURVIVED
2975336323, 3986, SURVIVED
2975336323, 3982, SURVIVED
2975336323, 3985, SURVIVED
2975336323, 3983, SURVIVED
2975336323, 3988, SURVIVED
2975336323, 3989, SURVIVED
2975336323, 3987, SURVIVED
2975336308, 159, SURVIVED
2975336308, 154, SURVIVED
2975336308, 149, SURVIVED
2975336308, 151, SURVIVED
2975336308, 155, SURVIVED
2975336308, 152, SURVIVED
2975336308, 150, SURVIVED
2975336308, 153, SURVIVED
2975336308, 156, SURVIVED
2975336308, 175, SURVIVED
2975336308, 170, SURVIVED
2975336308, 178, SURVIVED
2975336308, 182, SURVIVED
2975336308, 179, SURVIVED
2975336308, 184, SURVIVED
2975336308, 183, SURVIVED
2975336308, 181, SURVIVED
2975336308, 3977, SURVIVED
2975336308, 3986, SURVIVED
2975336308, 3980, SURVIVED
2975336308, 3988, SURVIVED
2975336308, 3978, SURVIVED
2975336308, 3979, SURVIVED
2975336308, 3982, SURVIVED
2975336308, 3989, SURVIVED
2975336308, 3985, SURVIVED
2975336308, 3983, SURVIVED
2975336308, 3987, SURVIVED
2975336308, 8237, SURVIVED
2975336315, 8237, SURVIVED
2975336315, 8239, SURVIVED
2975336315, 8713, SURVIVED
2975336342, 152, SURVIVED
2975336342, 150, SURVIVED
2975336308, 8239, SURVIVED
2975336315, 8745, SURVIVED
2975336342, 149, SURVIVED
2975336308, 8713, SURVIVED
2975336342, 151, SURVIVED
2975336308, 8745, SURVIVED
2975336312, 173, KILLED_TIMEOUT
2975336342, 155, SURVIVED
2975336342, 153, SURVIVED
2975336342, 154, SURVIVED
2975336342, 159, SURVIVED
2975336342, 3977, SURVIVED
2975336342, 156, SURVIVED
2975336342, 3987, SURVIVED
2975336342, 3986, SURVIVED
2975336342, 3983, SURVIVED
2975336342, 3978, SURVIVED
