seed, mutant, status
3620256615, 89, SURVIVED
3620256615, 181, SURVIVED
3620256615, 111, SURVIVED
3620256615, 157, SURVIVED
3620256615, 198, SURVIVED
3620256615, 47, SURVIVED
3620256615, 51, SURVIVED
3620256615, 195, SURVIVED
3620256615, 52, SURVIVED
3620256615, 79, SURVIVED
3620256615, 84, SURVIVED
3620256615, 197, SURVIVED
3620256615, 189, SURVIVED
3620256615, 255, SURVIVED
3620256615, 83, SURVIVED
3620256615, 223, SURVIVED
3620256615, 86, SURVIVED
3620256615, 194, SURVIVED
3620256615, 230, SURVIVED
3620256615, 201, SURVIVED
3620256615, 235, SURVIVED
3620256615, 1208, SURVIVED
3620256615, 1215, SURVIVED
3620256615, 233, SURVIVED
3620256615, 228, SURVIVED
3620256615, 227, SURVIVED
3620256615, 87, SURVIVED
3620256615, 814, SURVIVED
3620256615, 226, SURVIVED
3620256615, 203, SURVIVED
3620256615, 229, SURVIVED
3620256615, 196, SURVIVED
3620256615, 1219, SURVIVED
3620256615, 1217, SURVIVED
3620256615, 1218, SURVIVED
3620256615, 1216, SURVIVED
3620256615, 1220, SURVIVED
3620256615, 1250, SURVIVED
3620256615, 1249, SURVIVED
3620256615, 1248, SURVIVED
3620256615, 1251, SURVIVED
3620256615, 1252, SURVIVED
3620256615, 1317, SURVIVED
3620256629, 47, SURVIVED
3620256629, 51, SURVIVED
3620256629, 52, SURVIVED
3620256631, 198, SURVIVED
3620256631, 111, SURVIVED
3620256631, 84, SURVIVED
3620256631, 89, SURVIVED
3620256631, 51, SURVIVED
3620256631, 52, SURVIVED
3620256631, 157, SURVIVED
3620256631, 197, SURVIVED
3620256631, 83, SURVIVED
3620256631, 86, SURVIVED
3620256631, 196, SURVIVED
3620256631, 194, SURVIVED
3620256631, 47, SURVIVED
3620256631, 189, SURVIVED
3620256631, 195, SURVIVED
3620256631, 79, SURVIVED
3620256631, 181, SURVIVED
3620256631, 87, SURVIVED
3620256631, 203, SURVIVED
3620256631, 223, SURVIVED
3620256631, 226, SURVIVED
3620256631, 227, SURVIVED
3620256631, 201, SURVIVED
3620256631, 233, SURVIVED
3620256631, 230, SURVIVED
3620256631, 228, SURVIVED
3620256631, 235, SURVIVED
3620256631, 229, SURVIVED
3620256631, 1208, SURVIVED
3620256631, 814, SURVIVED
3620256631, 255, SURVIVED
3620256631, 1215, SURVIVED
3620256693, 774, SURVIVED
3620256693, 775, SURVIVED
3620256693, 47, SURVIVED
3620256693, 157, SURVIVED
3620256693, 734, SURVIVED
3620256693, 181, SURVIVED
3620256693, 52, SURVIVED
3620256693, 51, SURVIVED
3620256693, 111, SURVIVED
3620256631, 1217, SURVIVED
3620256631, 1216, SURVIVED
3620256693, 194, SURVIVED
3620256693, 189, SURVIVED
3620256693, 195, SURVIVED
3620256631, 1218, SURVIVED
3620256693, 196, SURVIVED
3620256693, 197, SURVIVED
3620256631, 1219, SURVIVED
3620256631, 1250, SURVIVED
3620256631, 1248, SURVIVED
3620256693, 201, SURVIVED
3620256631, 1317, SURVIVED
3620256631, 1220, SURVIVED
3620256693, 198, SURVIVED
3620256631, 1251, SURVIVED
3620256631, 1249, SURVIVED
3620256631, 1252, SURVIVED
3620256693, 713, SURVIVED
3620256693, 715, SURVIVED
3620256693, 716, SURVIVED
3620256693, 712, SURVIVED
3620256693, 203, SURVIVED
3620256693, 718, SURVIVED
3620256693, 720, SURVIVED
3620256693, 719, SURVIVED
3620256693, 725, SURVIVED
3620256693, 728, SURVIVED
3620256693, 727, SURVIVED
3620256693, 722, SURVIVED
3620256693, 228, SURVIVED
3620256693, 229, SURVIVED
3620256693, 724, SURVIVED
3620256693, 721, SURVIVED
3620256693, 235, SURVIVED
