seed, mutant, status
320973106, 5689, SURVIVED
320973106, 5170, SURVIVED
320973106, 5684, SURVIVED
320973106, 6630, SURVIVED
320973106, 5681, SURVIVED
320973106, 5175, SURVIVED
320973106, 5685, SURVIVED
320973106, 5174, SURVIVED
320973106, 6637, SURVIVED
320973106, 5172, SURVIVED
320973106, 6514, SURVIVED
320973106, 6568, SURVIVED
320973106, 5683, SURVIVED
320973112, 2295, SURVIVED
320973106, 6598, SURVIVED
320973106, 5173, SURVIVED
320973106, 5686, SURVIVED
320973106, 5071, SURVIVED
320973106, 5682, SURVIVED
320973106, 6665, SURVIVED
320973106, 6569, SURVIVED
320973106, 6540, SURVIVED
320973106, 6536, SURVIVED
320973106, 6661, SURVIVED
320973106, 6572, SURVIVED
320973106, 6605, SURVIVED
320973106, 5688, SURVIVED
320973106, 5103, SURVIVED
320973112, 2217, SURVIVED
320973106, 6524, SURVIVED
320973106, 6537, SURVIVED
320973112, 2185, SURVIVED
320973106, 6668, SURVIVED
320973106, 6669, SURVIVED
320973106, 6670, SURVIVED
320973106, 12047, SURVIVED
320973106, 6693, SURVIVED
320973106, 6667, SURVIVED
320973115, 637, SURVIVED
320973115, 6026, SURVIVED
320973115, 647, SURVIVED
320973115, 650, SURVIVED
320973115, 649, SURVIVED
320973115, 653, SURVIVED
320973115, 6536, SURVIVED
320973115, 655, SURVIVED
320973115, 6102, SURVIVED
320973115, 651, SURVIVED
320973115, 652, SURVIVED
320973115, 6524, SURVIVED
320973115, 6101, SURVIVED
320973115, 658, SURVIVED
320973115, 643, SURVIVED
320973115, 638, SURVIVED
320973115, 646, SURVIVED
320973115, 6103, SURVIVED
320973115, 6537, SURVIVED
320973115, 6058, SURVIVED
320973115, 657, SURVIVED
320973115, 654, SURVIVED
320973115, 6332, SURVIVED
320973115, 6514, SURVIVED
320973115, 6300, SURVIVED
320973115, 656, SURVIVED
320973115, 6598, SURVIVED
320973115, 6568, SURVIVED
320973115, 6572, SURVIVED
320973115, 6569, SURVIVED
320973115, 6540, SURVIVED
320973115, 6605, SURVIVED
320973115, 6630, SURVIVED
320973115, 6637, SURVIVED
320973115, 6661, SURVIVED
320973115, 6665, SURVIVED
320973115, 6668, SURVIVED
320973115, 6693, SURVIVED
320973115, 6699, SURVIVED
320973115, 6700, SURVIVED
320973115, 6667, SURVIVED
320973115, 12047, SURVIVED
320973115, 6670, SURVIVED
320973115, 6669, SURVIVED
320973115, 6681, SURVIVED
320973115, 6702, SURVIVED
320973115, 6701, SURVIVED
320973115, 6697, SURVIVED
320973113, 647, SURVIVED
320973113, 652, SURVIVED
320973113, 653, SURVIVED
320973113, 650, SURVIVED
320973113, 646, SURVIVED
320973113, 638, SURVIVED
320973113, 651, SURVIVED
