seed, mutant, status
1371640629, 283, KILLED_FAILED
1371640629, 279, KILLED_FAILED
1371640628, 283, KILLED_FAILED
1371640628, 279, KILLED_FAILED
1371640614, 1725, SURVIVED
1371640614, 1526, SURVIVED
1371640617, 279, KILLED_FAILED
1371640617, 283, KILLED_FAILED
1371640614, 1496, SURVIVED
1371640614, 1508, SURVIVED
1371640614, 1693, SURVIVED
1371640614, 1732, SURVIVED
1371640614, 1324, SURVIVED
1371640614, 1494, SURVIVED
1371640614, 1327, SURVIVED
1371640614, 1528, SURVIVED
1371640614, 1729, SURVIVED
1371640614, 1724, SURVIVED
1371640614, 1525, SURVIVED
1371640614, 1733, SURVIVED
1371640614, 1518, SURVIVED
1371640614, 1497, SURVIVED
1371640614, 1493, SURVIVED
1371640614, 1529, SURVIVED
1371640614, 1326, SURVIVED
1371640614, 1728, SURVIVED
1371640614, 1731, SURVIVED
1371640614, 283, SURVIVED
1371640614, 1692, SURVIVED
1371640614, 1738, SURVIVED
1371640614, 1730, SURVIVED
1371640614, 1671, SURVIVED
1371640614, 1737, SURVIVED
1371640614, 279, SURVIVED
1371640614, 1746, SURVIVED
1371640614, 1752, SURVIVED
1371640614, 1770, SURVIVED
1371640614, 1765, SURVIVED
1371640614, 1785, SURVIVED
1371640614, 1778, SURVIVED
1371640614, 1763, SURVIVED
1371640614, 1781, SURVIVED
1371640614, 1760, SURVIVED
1371640614, 1741, SURVIVED
1371640614, 1773, SURVIVED
1371640614, 1764, SURVIVED
1371640614, 1762, SURVIVED
1371640614, 1783, SURVIVED
1371640614, 1742, SURVIVED
1371640614, 1769, SURVIVED
1371640614, 1761, SURVIVED
1371640614, 1749, SURVIVED
1371640614, 1753, SURVIVED
1371640614, 1784, SURVIVED
1371640614, 1751, SURVIVED
1371640614, 1774, SURVIVED
1371640619, 1326, SURVIVED
1371640619, 1324, SURVIVED
1371640619, 1494, SURVIVED
1371640619, 1508, SURVIVED
1371640619, 1496, SURVIVED
1371640619, 1493, SURVIVED
1371640619, 1327, SURVIVED
1371640619, 1528, SURVIVED
1371640619, 1525, SURVIVED
1371640619, 1518, SURVIVED
1371640619, 1497, SURVIVED
1371640619, 1526, SURVIVED
1371640619, 1529, SURVIVED
1371640619, 1671, SURVIVED
1371640619, 1724, SURVIVED
1371640619, 1692, SURVIVED
1371640619, 1693, SURVIVED
1371640619, 1725, SURVIVED
1371640619, 1728, SURVIVED
1371640619, 1730, SURVIVED
1371640619, 1731, SURVIVED
1371640619, 1732, SURVIVED
1371640619, 1729, SURVIVED
1371640619, 1742, SURVIVED
1371640619, 1738, SURVIVED
1371640619, 1733, SURVIVED
1371640619, 1737, SURVIVED
1371640619, 1741, SURVIVED
1371640619, 1746, SURVIVED
1371640619, 1752, SURVIVED
1371640619, 1749, SURVIVED
1371640619, 1751, SURVIVED
1371640619, 1753, SURVIVED
1371640619, 1760, SURVIVED
1371640619, 1761, SURVIVED
1371640619, 1763, SURVIVED
1371640619, 1765, SURVIVED
1371640619, 1764, SURVIVED
1371640619, 1769, SURVIVED
1371640619, 1762, SURVIVED
1371640619, 1770, SURVIVED
1371640619, 1773, SURVIVED
1371640619, 1778, SURVIVED
1371640619, 1774, SURVIVED
1371640619, 1785, SURVIVED
1371640619, 1781, SURVIVED
1371640619, 1783, SURVIVED
1371640619, 1784, SURVIVED
1371640613, 1326, SURVIVED
1371640613, 1324, SURVIVED
1371640613, 1497, SURVIVED
1371640613, 1327, SURVIVED
1371640613, 1494, SURVIVED
1371640613, 1496, SURVIVED
1371640613, 1525, SURVIVED
1371640613, 1493, SURVIVED
1371640613, 1518, SURVIVED
1371640613, 1671, SURVIVED
1371640613, 1508, SURVIVED
1371640613, 1526, SURVIVED
1371640613, 1693, SURVIVED
1371640613, 1528, SURVIVED
1371640613, 1529, SURVIVED
1371640613, 1692, SURVIVED
1371640613, 1724, SURVIVED
1371640613, 1730, SURVIVED
1371640613, 1725, SURVIVED
1371640613, 1733, SURVIVED
1371640613, 1729, SURVIVED
1371640613, 1728, SURVIVED
1371640613, 1731, SURVIVED
1371640613, 1737, SURVIVED
1371640613, 1732, SURVIVED
1371640613, 1738, SURVIVED
1371640613, 1741, SURVIVED
1371640613, 1751, SURVIVED
1371640613, 1749, SURVIVED
1371640613, 1752, SURVIVED
1371640613, 1746, SURVIVED
1371640613, 1753, SURVIVED
1371640613, 1742, SURVIVED
1371640613, 1760, SURVIVED
