seed, mutant, status
3032861405, 26197, SURVIVED
3032861405, 26207, SURVIVED
3032861405, 17056, SURVIVED
3032861405, 26204, SURVIVED
3032861405, 26198, SURVIVED
3032861406, 29912, SURVIVED
3032861406, 3689, SURVIVED
3032861406, 26198, SURVIVED
3032861406, 26197, SURVIVED
3032861406, 29913, SURVIVED
3032861406, 29869, SURVIVED
3032861406, 29908, SURVIVED
3032861406, 26207, SURVIVED
3032861406, 3783, SURVIVED
3032861406, 29916, SURVIVED
3032861406, 3725, SURVIVED
3032861406, 29909, SURVIVED
3032861406, 3726, SURVIVED
3032861406, 3721, SURVIVED
3032861406, 3757, SURVIVED
3032861406, 3720, SURVIVED
3032861406, 3758, SURVIVED
3032861406, 3753, SURVIVED
3032861406, 3684, SURVIVED
3032861406, 3789, SURVIVED
3032861406, 26204, SURVIVED
3032861406, 17056, SURVIVED
3032861406, 29915, SURVIVED
3032861406, 29873, SURVIVED
3032861406, 29902, SURVIVED
3032861406, 29907, SURVIVED
3032861406, 29910, SURVIVED
3032861400, 8341, SURVIVED
3032861406, 29919, SURVIVED
3032861400, 1051, SURVIVED
3032861400, 8342, SURVIVED
3032861400, 1052, SURVIVED
3032861400, 8345, SURVIVED
3032861400, 8346, SURVIVED
3032861400, 8374, SURVIVED
3032861400, 8368, SURVIVED
3032861400, 8347, SURVIVED
3032861419, 26198, SURVIVED
3032861400, 8349, SURVIVED
3032861400, 8366, SURVIVED
3032861400, 8380, SURVIVED
3032861400, 8350, SURVIVED
3032861400, 8378, SURVIVED
3032861400, 8348, SURVIVED
3032861400, 8395, SURVIVED
3032861419, 26197, SURVIVED
3032861400, 8373, SURVIVED
3032861400, 8384, SURVIVED
3032861400, 8394, SURVIVED
3032861400, 8377, SURVIVED
3032861419, 17056, SURVIVED
3032861400, 8391, SURVIVED
3032861400, 8379, SURVIVED
3032861400, 8381, SURVIVED
3032861419, 26204, SURVIVED
3032861400, 8388, SURVIVED
3032861400, 8382, SURVIVED
3032861400, 26204, SURVIVED
3032861400, 17056, SURVIVED
3032861400, 26197, SURVIVED
3032861400, 8387, SURVIVED
3032861400, 26207, SURVIVED
3032861400, 8390, SURVIVED
3032861400, 26198, SURVIVED
3032861419, 26207, SURVIVED
3032861418, 1202, SURVIVED
3032861418, 1170, SURVIVED
3032861418, 17056, SURVIVED
3032861418, 6233, SURVIVED
3032861418, 21103, SURVIVED
3032861418, 10276, SURVIVED
3032861418, 10275, SURVIVED
3032861418, 21339, SURVIVED
3032861418, 10278, SURVIVED
3032861418, 21372, SURVIVED
3032861418, 21342, SURVIVED
3032861418, 21373, SURVIVED
3032861418, 10274, SURVIVED
3032861418, 21375, SURVIVED
3032861418, 21143, SURVIVED
3032861418, 21340, SURVIVED
3032861418, 21389, SURVIVED
3032861418, 21343, SURVIVED
3032861418, 21341, SURVIVED
3032861418, 21371, SURVIVED
3032861418, 21374, SURVIVED
3032861418, 21401, SURVIVED
3032861418, 30821, SURVIVED
3032861418, 31476, SURVIVED
3032861418, 30793, SURVIVED
3032861418, 30409, SURVIVED
3032861418, 30825, SURVIVED
3032861418, 31442, SURVIVED
3032861418, 31474, SURVIVED
3032861422, 3720, SURVIVED
3032861422, 3689, SURVIVED
3032861422, 3721, SURVIVED
3032861422, 3753, SURVIVED
3032861422, 3684, SURVIVED
3032861422, 3726, SURVIVED
3032861422, 3725, SURVIVED
3032861422, 3783, SURVIVED
3032861422, 3757, SURVIVED
3032861422, 3758, SURVIVED
3032861437, 29001, SURVIVED
3032861403, 28912, SURVIVED
3032861422, 17056, SURVIVED
3032861437, 1051, SURVIVED
3032861403, 28914, SURVIVED
3032861437, 28912, SURVIVED
3032861403, 17056, SURVIVED
3032861437, 29007, SURVIVED
3032861437, 1052, SURVIVED
3032861437, 17056, SURVIVED
3032861422, 3789, SURVIVED
3032861403, 29007, SURVIVED
3032861437, 28914, SURVIVED
3032861437, 28992, SURVIVED
3032861403, 29109, SURVIVED
3032861403, 31442, SURVIVED
3032861403, 30821, SURVIVED
3032861437, 29077, SURVIVED
3032861403, 30825, SURVIVED
3032861403, 29077, SURVIVED
3032861437, 29109, SURVIVED
3032861403, 29001, SURVIVED
3032861403, 28992, SURVIVED
3032861403, 30793, SURVIVED
3032861437, 30793, SURVIVED
3032861437, 31474, SURVIVED
3032861437, 31442, SURVIVED
3032861437, 31476, SURVIVED
3032861437, 30825, SURVIVED
3032861437, 30821, SURVIVED
3032861438, 3689, SURVIVED
3032861438, 3720, SURVIVED
3032861438, 3684, SURVIVED
3032861438, 3721, SURVIVED
3032861438, 3753, SURVIVED
3032861438, 3726, SURVIVED
3032861438, 3783, SURVIVED
3032861438, 3725, SURVIVED
3032861438, 5550, SURVIVED
3032861438, 3758, SURVIVED
3032861438, 5546, SURVIVED
3032861438, 3789, SURVIVED
3032861438, 5551, SURVIVED
3032861438, 6812, SURVIVED
3032861438, 6838, SURVIVED
3032861438, 3757, SURVIVED
3032861438, 5549, SURVIVED
3032861438, 17056, SURVIVED
3032861438, 29869, SURVIVED
3032861438, 5547, SURVIVED
3032861438, 5548, SURVIVED
3032861438, 6844, SURVIVED
3032861438, 6846, SURVIVED
3032861438, 6814, SURVIVED
3032861438, 29902, SURVIVED
3032861438, 29873, SURVIVED
3032861438, 29910, SURVIVED
3032861438, 29909, SURVIVED
3032861438, 29907, SURVIVED
3032861438, 29908, SURVIVED
3032861438, 29913, SURVIVED
3032861438, 29912, SURVIVED
3032861438, 29915, SURVIVED
3032861438, 29919, SURVIVED
3032861438, 29916, SURVIVED
3032861438, 30793, SURVIVED
3032861438, 31474, SURVIVED
3032861438, 30821, SURVIVED
3032861438, 31442, SURVIVED
3032861438, 30825, SURVIVED
3032861438, 31476, SURVIVED
3032861412, 17056, SURVIVED
3032861412, 1052, SURVIVED
3032861407, 5076, SURVIVED
3032861412, 1051, SURVIVED
3032861412, 29902, SURVIVED
3032861412, 29873, SURVIVED
3032861412, 1202, SURVIVED
3032861412, 29908, SURVIVED
3032861412, 1170, SURVIVED
3032861407, 5081, SURVIVED
3032861412, 29909, SURVIVED
3032861412, 22851, SURVIVED
3032861407, 6233, SURVIVED
3032861407, 6844, SURVIVED
3032861407, 5268, SURVIVED
3032861412, 29869, SURVIVED
3032861412, 29907, SURVIVED
3032861412, 29910, SURVIVED
3032861412, 29912, SURVIVED
3032861407, 31442, SURVIVED
3032861407, 5075, SURVIVED
3032861407, 5248, SURVIVED
3032861407, 6265, SURVIVED
3032861407, 17056, SURVIVED
3032861407, 5273, SURVIVED
3032861407, 5267, SURVIVED
3032861407, 6838, SURVIVED
3032861407, 6846, SURVIVED
3032861407, 6812, SURVIVED
3032861407, 31474, SURVIVED
3032861407, 6814, SURVIVED
3032861407, 31476, SURVIVED
3032861412, 29913, SURVIVED
3032861412, 29915, SURVIVED
3032861412, 29919, SURVIVED
3032861412, 29916, SURVIVED
3032861404, 1202, SURVIVED
3032861404, 3720, SURVIVED
3032861404, 3684, SURVIVED
3032861404, 1052, SURVIVED
3032861404, 1051, SURVIVED
3032861404, 1170, SURVIVED
3032861404, 3721, SURVIVED
3032861404, 3689, SURVIVED
3032861404, 3725, SURVIVED
3032861404, 3726, SURVIVED
3032861404, 3753, SURVIVED
3032861404, 3757, SURVIVED
3032861404, 3783, SURVIVED
3032861404, 3758, SURVIVED
3032861404, 3789, SURVIVED
3032861404, 17056, SURVIVED
3032861404, 26197, SURVIVED
3032861404, 26198, SURVIVED
3032861404, 28992, SURVIVED
3032861404, 26204, SURVIVED
3032861404, 29001, SURVIVED
3032861404, 26207, SURVIVED
3032861404, 28912, SURVIVED
3032861404, 28914, SURVIVED
3032861404, 29007, SURVIVED
3032861404, 29109, SURVIVED
3032861404, 29077, SURVIVED
3032861404, 29024, SURVIVED
3032861404, 30793, SURVIVED
3032861404, 30821, SURVIVED
3032861404, 30825, SURVIVED
3032861404, 31442, SURVIVED
3032861431, 1051, SURVIVED
3032861431, 1052, SURVIVED
3032861420, 1202, SURVIVED
3032861420, 1317, SURVIVED
3032861420, 1052, SURVIVED
3032861420, 1170, SURVIVED
3032861420, 3757, SURVIVED
3032861420, 1051, SURVIVED
3032861420, 5548, SURVIVED
3032861420, 3684, SURVIVED
3032861420, 3721, SURVIVED
3032861420, 3689, SURVIVED
3032861420, 3720, SURVIVED
3032861420, 3753, SURVIVED
3032861420, 3726, SURVIVED
3032861420, 3758, SURVIVED
3032861420, 3725, SURVIVED
3032861420, 3789, SURVIVED
3032861420, 5546, SURVIVED
3032861420, 3783, SURVIVED
3032861420, 5551, SURVIVED
3032861420, 22851, SURVIVED
3032861420, 5547, SURVIVED
3032861420, 17056, SURVIVED
3032861420, 28762, SURVIVED
3032861420, 6265, SURVIVED
3032861431, 1170, SURVIVED
3032861420, 5550, SURVIVED
3032861420, 5549, SURVIVED
3032861431, 3684, SURVIVED
3032861431, 1202, SURVIVED
3032861431, 3689, SURVIVED
3032861431, 3720, SURVIVED
3032861431, 3726, SURVIVED
3032861431, 3721, SURVIVED
3032861431, 3725, SURVIVED
3032861431, 3753, SURVIVED
3032861431, 3758, SURVIVED
3032861431, 3789, SURVIVED
3032861431, 5546, SURVIVED
3032861431, 3757, SURVIVED
3032861431, 5547, SURVIVED
