seed, mutant, status
3560418402, 13388, SURVIVED
3560418402, 14081, SURVIVED
3560418402, 10454, SURVIVED
3560418402, 18682, SURVIVED
3560418402, 13372, SURVIVED
3560418402, 10452, SURVIVED
3560418402, 10448, SURVIVED
3560418402, 10444, SURVIVED
3560418426, 13372, SURVIVED
3560418426, 14113, SURVIVED
3560418426, 13420, SURVIVED
3560418402, 13420, SURVIVED
3560418426, 14081, SURVIVED
3560418426, 13388, SURVIVED
3560418428, 13388, SURVIVED
3560418428, 14081, SURVIVED
3560418428, 13420, SURVIVED
3560418428, 10454, SURVIVED
3560418428, 10452, SURVIVED
3560418428, 10448, SURVIVED
3560418412, 13372, SURVIVED
3560418428, 14113, SURVIVED
3560418428, 16608, SURVIVED
3560418428, 18682, SURVIVED
3560418412, 13388, SURVIVED
3560418428, 10444, SURVIVED
3560418428, 13372, SURVIVED
3560418412, 13420, SURVIVED
3560418412, 14081, SURVIVED
3560418400, 10452, SURVIVED
3560418400, 10444, SURVIVED
3560418400, 10448, SURVIVED
3560418423, 12941, SURVIVED
3560418423, 12945, SURVIVED
3560418423, 12951, SURVIVED
3560418423, 12977, SURVIVED
3560418423, 13036, SURVIVED
3560418400, 14081, SURVIVED
3560418400, 10454, SURVIVED
3560418423, 12973, SURVIVED
3560418423, 18682, SURVIVED
3560418423, 16608, SURVIVED
3560418409, 14081, SURVIVED
3560418400, 18682, SURVIVED
3560418409, 15165, SURVIVED
3560418409, 13388, SURVIVED
3560418400, 16608, SURVIVED
3560418400, 14113, SURVIVED
3560418409, 13372, SURVIVED
3560418409, 16608, SURVIVED
3560418409, 14113, SURVIVED
3560418409, 15557, SURVIVED
3560418409, 13420, SURVIVED
3560418409, 15807, SURVIVED
3560418418, 12951, SURVIVED
3560418418, 12973, SURVIVED
3560418418, 12941, SURVIVED
3560418418, 12945, SURVIVED
3560418418, 13372, SURVIVED
3560418418, 12977, SURVIVED
3560418418, 13036, SURVIVED
3560418418, 13388, SURVIVED
3560418418, 14081, SURVIVED
3560418418, 13420, SURVIVED
3560418434, 12941, SURVIVED
3560418434, 12945, SURVIVED
3560418418, 17843, SURVIVED
3560418418, 14113, SURVIVED
3560418434, 12951, SURVIVED
3560418418, 17844, SURVIVED
3560418418, 17848, SURVIVED
3560418418, 17845, SURVIVED
3560418418, 17847, SURVIVED
3560418418, 17846, SURVIVED
3560418418, 16608, SURVIVED
3560418434, 12973, SURVIVED
3560418418, 17888, SURVIVED
3560418418, 17856, SURVIVED
3560418418, 17850, SURVIVED
3560418418, 17859, SURVIVED
3560418418, 17857, SURVIVED
3560418418, 17891, SURVIVED
3560418418, 17894, SURVIVED
3560418418, 17889, SURVIVED
3560418434, 13036, SURVIVED
3560418434, 12977, SURVIVED
3560418418, 17895, SURVIVED
3560418418, 17863, SURVIVED
3560418418, 17862, SURVIVED
3560418458, 7656, SURVIVED
3560418434, 18682, SURVIVED
3560418458, 7654, SURVIVED
3560418458, 7655, SURVIVED
3560418458, 7672, SURVIVED
3560418458, 7673, SURVIVED
3560418458, 7671, SURVIVED
3560418458, 7677, SURVIVED
