seed, mutant, status
1886585600, 408, SURVIVED
1886585600, 529, SURVIVED
1886585600, 532, SURVIVED
1886585600, 527, SURVIVED
1886585600, 962, SURVIVED
1886585623, 962, SURVIVED
1886585610, 532, SURVIVED
1886585610, 962, SURVIVED
1886585610, 529, SURVIVED
1886585610, 408, SURVIVED
1886585644, 532, SURVIVED
1886585623, 527, SURVIVED
1886585644, 962, SURVIVED
1886585623, 408, SURVIVED
1886585610, 527, SURVIVED
1886585623, 532, SURVIVED
1886585623, 529, SURVIVED
1886585644, 408, SURVIVED
1886585606, 408, SURVIVED
1886585644, 529, SURVIVED
1886585644, 527, SURVIVED
1886585621, 962, SURVIVED
1886585621, 408, SURVIVED
1886585613, 962, SURVIVED
1886585613, 527, SURVIVED
1886585613, 408, SURVIVED
1886585613, 529, SURVIVED
1886585613, 532, SURVIVED
1886585621, 527, SURVIVED
1886585621, 529, SURVIVED
1886585606, 527, SURVIVED
1886585621, 532, SURVIVED
1886585606, 962, SURVIVED
1886585606, 529, SURVIVED
1886585606, 532, SURVIVED
1886585639, 532, SURVIVED
1886585639, 529, SURVIVED
1886585639, 962, SURVIVED
1886585639, 527, SURVIVED
1886585639, 408, SURVIVED
1886585605, 962, SURVIVED
1886585628, 408, SURVIVED
1886585628, 529, SURVIVED
1886585628, 962, SURVIVED
1886585628, 532, SURVIVED
1886585605, 408, SURVIVED
1886585628, 527, SURVIVED
1886585619, 529, SURVIVED
1886585605, 527, SURVIVED
1886585619, 532, SURVIVED
1886585619, 527, SURVIVED
1886585605, 532, SURVIVED
1886585605, 529, SURVIVED
1886585619, 962, SURVIVED
1886585619, 408, SURVIVED
1886585646, 408, SURVIVED
1886585646, 527, SURVIVED
1886585646, 529, SURVIVED
1886585646, 532, SURVIVED
1886585646, 962, SURVIVED
1886585617, 527, SURVIVED
1886585617, 408, SURVIVED
1886585617, 532, SURVIVED
1886585617, 962, SURVIVED
1886585617, 529, SURVIVED
1886585615, 532, SURVIVED
1886585615, 962, SURVIVED
1886585615, 527, SURVIVED
1886585615, 408, SURVIVED
1886585615, 529, SURVIVED
1886585614, 527, SURVIVED
1886585614, 408, SURVIVED
1886585614, 532, SURVIVED
1886585614, 529, SURVIVED
