seed, mutant, status
441722122, 2429, SURVIVED
441722122, 4388, SURVIVED
441722122, 1582, SURVIVED
441722122, 5082, SURVIVED
441722115, 1428, SURVIVED
441722122, 1551, SURVIVED
441722122, 5131, SURVIVED
441722122, 1430, SURVIVED
441722115, 1551, SURVIVED
441722122, 5083, SURVIVED
441722122, 1550, SURVIVED
441722122, 273, SURVIVED
441722115, 1430, SURVIVED
441722115, 2124, SURVIVED
441722122, 5120, SURVIVED
441722115, 2138, SURVIVED
441722115, 273, SURVIVED
441722122, 1428, SURVIVED
441722115, 1106, SURVIVED
441722115, 1429, SURVIVED
441722115, 1582, SURVIVED
441722115, 2587, SURVIVED
441722122, 1429, SURVIVED
441722115, 51, SURVIVED
441722115, 2429, SURVIVED
441722115, 2829, SURVIVED
441722115, 1550, SURVIVED
441722115, 2823, SURVIVED
441722115, 2824, SURVIVED
441722115, 2619, SURVIVED
441722115, 2338, SURVIVED
441722115, 2821, SURVIVED
441722115, 2853, SURVIVED
441722115, 2856, SURVIVED
441722115, 2908, SURVIVED
441722115, 2940, SURVIVED
441722115, 2855, SURVIVED
441722115, 2861, SURVIVED
441722115, 2988, SURVIVED
441722115, 2974, SURVIVED
441722115, 4666, SURVIVED
441722115, 4675, SURVIVED
441722115, 4388, SURVIVED
441722115, 4664, SURVIVED
441722115, 4684, SURVIVED
441722115, 2956, SURVIVED
441722115, 4688, SURVIVED
441722115, 4665, SURVIVED
441722115, 4674, SURVIVED
441722115, 4667, SURVIVED
441722115, 4707, SURVIVED
441722115, 5082, SURVIVED
441722115, 4720, SURVIVED
441722115, 4685, SURVIVED
441722115, 4788, SURVIVED
441722115, 4706, SURVIVED
441722115, 4839, SURVIVED
441722115, 4828, SURVIVED
441722115, 4663, SURVIVED
441722115, 4835, SURVIVED
441722115, 4836, SURVIVED
441722115, 4791, SURVIVED
441722115, 4717, SURVIVED
441722115, 4759, SURVIVED
441722115, 6672, SURVIVED
441722115, 6662, SURVIVED
441722115, 6814, SURVIVED
441722115, 6663, SURVIVED
441722115, 5120, SURVIVED
441722115, 5131, SURVIVED
441722115, 5083, SURVIVED
441722109, 51, SURVIVED
441722109, 606, SURVIVED
441722109, 273, SURVIVED
441722109, 609, SURVIVED
441722109, 608, SURVIVED
441722109, 607, SURVIVED
441722109, 610, SURVIVED
441722109, 612, SURVIVED
441722109, 621, SURVIVED
441722109, 642, SURVIVED
441722109, 611, SURVIVED
441722109, 614, SURVIVED
441722109, 646, SURVIVED
441722109, 645, SURVIVED
441722109, 615, SURVIVED
441722109, 647, SURVIVED
441722109, 643, SURVIVED
441722109, 644, SURVIVED
441722109, 650, SURVIVED
441722109, 639, SURVIVED
441722109, 651, SURVIVED
441722109, 653, SURVIVED
441722109, 641, SURVIVED
441722109, 632, SURVIVED
441722109, 655, SURVIVED
441722109, 656, SURVIVED
441722109, 652, SURVIVED
441722109, 657, SURVIVED
441722109, 661, SURVIVED
441722109, 659, SURVIVED
441722109, 654, SURVIVED
441722109, 662, SURVIVED
441722109, 664, SURVIVED
441722109, 663, SURVIVED
441722109, 669, SURVIVED
441722109, 668, SURVIVED
441722109, 665, SURVIVED
441722109, 670, SURVIVED
441722109, 675, SURVIVED
441722109, 671, SURVIVED
441722109, 672, SURVIVED
441722109, 732, SURVIVED
441722109, 727, SURVIVED
441722109, 676, SURVIVED
441722109, 677, SURVIVED
441722109, 726, SURVIVED
441722109, 731, SURVIVED
441722109, 680, SURVIVED
441722109, 725, SURVIVED
441722109, 728, SURVIVED
441722109, 736, SURVIVED
441722109, 741, SURVIVED
441722109, 733, SURVIVED
441722109, 737, SURVIVED
441722109, 742, SURVIVED
441722109, 751, SURVIVED
441722109, 750, SURVIVED
441722109, 754, SURVIVED
441722109, 756, SURVIVED
441722109, 755, SURVIVED
441722109, 734, SURVIVED
441722109, 740, SURVIVED
441722109, 757, SURVIVED
441722109, 773, SURVIVED
441722109, 793, SURVIVED
441722109, 774, SURVIVED
441722109, 799, SURVIVED
441722109, 1106, SURVIVED
441722109, 1582, SURVIVED
441722109, 1550, SURVIVED
441722109, 1551, SURVIVED
441722109, 2138, SURVIVED
441722109, 2124, SURVIVED
441722109, 2821, SURVIVED
441722109, 2823, SURVIVED
441722109, 2619, SURVIVED
441722109, 2829, SURVIVED
441722109, 2853, SURVIVED
441722109, 2824, SURVIVED
441722109, 2856, SURVIVED
441722109, 2587, SURVIVED
441722109, 2908, SURVIVED
