seed, mutant, status
309009712, 1209, SURVIVED
309009745, 1209, SURVIVED
309009745, 1204, SURVIVED
309009712, 1204, SURVIVED
309009752, 1209, SURVIVED
309009733, 1209, SURVIVED
309009765, 1209, SURVIVED
309009752, 1204, SURVIVED
309009709, 1204, SURVIVED
309009733, 1204, SURVIVED
309009765, 1204, SURVIVED
309009777, 1204, SURVIVED
309009709, 1209, SURVIVED
309009777, 1209, SURVIVED
309009701, 1209, SURVIVED
309009701, 1204, SURVIVED
309009734, 1204, SURVIVED
309009734, 1209, SURVIVED
309009756, 1204, SURVIVED
309009756, 1209, SURVIVED
309009776, 1209, SURVIVED
309009776, 1204, SURVIVED
309009717, 1209, SURVIVED
309009717, 1204, SURVIVED
309009725, 1209, SURVIVED
309009739, 1204, SURVIVED
309009725, 1204, SURVIVED
309009720, 1204, SURVIVED
309009720, 1209, SURVIVED
309009744, 1209, SURVIVED
309009744, 1204, SURVIVED
309009739, 1209, SURVIVED
309009713, 1209, SURVIVED
309009713, 1204, SURVIVED
309009728, 1204, SURVIVED
309009728, 1209, SURVIVED
309009726, 1204, SURVIVED
309009724, 1209, SURVIVED
309009724, 1204, SURVIVED
309009727, 1204, SURVIVED
309009726, 1209, SURVIVED
309009702, 1204, SURVIVED
309009727, 1209, SURVIVED
309009702, 1209, SURVIVED
309009721, 1204, SURVIVED
309009721, 1209, SURVIVED
309009705, 1204, SURVIVED
309009755, 1204, SURVIVED
309009755, 1209, SURVIVED
309009705, 1209, SURVIVED
309009718, 1204, SURVIVED
309009718, 1209, SURVIVED
309009711, 1204, SURVIVED
309009711, 1209, SURVIVED
309009707, 1204, SURVIVED
309009707, 1209, SURVIVED
309009704, 1204, SURVIVED
309009704, 1209, SURVIVED
309009760, 1204, SURVIVED
309009760, 1209, SURVIVED
309009749, 1204, SURVIVED
309009706, 1204, SURVIVED
309009706, 1209, SURVIVED
309009749, 1209, SURVIVED
309009715, 1204, SURVIVED
309009715, 1209, SURVIVED
309009729, 1209, SURVIVED
309009729, 1204, SURVIVED
309009769, 1204, SURVIVED
309009700, 1204, SURVIVED
309009714, 1204, SURVIVED
309009700, 1209, SURVIVED
309009769, 1209, SURVIVED
309009714, 1209, SURVIVED
309009766, 1204, SURVIVED
309009750, 1204, SURVIVED
309009757, 1209, SURVIVED
309009766, 1209, SURVIVED
309009757, 1204, SURVIVED
309009750, 1209, SURVIVED
309009723, 1204, SURVIVED
309009723, 1209, SURVIVED
309009719, 1209, SURVIVED
309009719, 1204, SURVIVED
309009779, 1204, SURVIVED
309009779, 1209, SURVIVED
309009736, 1209, SURVIVED
309009737, 1204, SURVIVED
309009736, 1204, SURVIVED
309009737, 1209, SURVIVED
309009797, 1204, SURVIVED
309009797, 1209, SURVIVED
309009741, 1204, SURVIVED
309009741, 1209, SURVIVED
309009732, 1209, SURVIVED
309009771, 1204, SURVIVED
309009771, 1209, SURVIVED
309009732, 1204, SURVIVED
309009773, 1204, SURVIVED
309009773, 1209, SURVIVED
309009759, 1204, SURVIVED
309009759, 1209, SURVIVED
309009768, 1204, SURVIVED
309009768, 1209, SURVIVED
309009738, 1209, SURVIVED
309009781, 1204, SURVIVED
309009781, 1209, SURVIVED
309009738, 1204, SURVIVED
309009748, 1209, SURVIVED
309009747, 1204, SURVIVED
309009747, 1209, SURVIVED
309009748, 1204, SURVIVED
309009794, 1204, SURVIVED
309009794, 1209, SURVIVED
309009770, 1209, SURVIVED
309009716, 1209, SURVIVED
309009716, 1204, SURVIVED
309009770, 1204, SURVIVED
309009730, 1204, SURVIVED
309009730, 1209, SURVIVED
309009788, 1204, SURVIVED
309009746, 1204, SURVIVED
309009735, 1204, SURVIVED
309009735, 1209, SURVIVED
309009746, 1209, SURVIVED
309009788, 1209, SURVIVED
309009789, 1209, SURVIVED
309009703, 1209, SURVIVED
309009703, 1204, SURVIVED
309009785, 1204, SURVIVED
309009785, 1209, SURVIVED
309009789, 1204, SURVIVED
309009774, 1204, SURVIVED
309009743, 1204, SURVIVED
309009774, 1209, SURVIVED
309009743, 1209, SURVIVED
309009753, 1204, SURVIVED
309009780, 1204, SURVIVED
309009780, 1209, SURVIVED
309009753, 1209, SURVIVED
309009762, 1204, SURVIVED
309009762, 1209, SURVIVED
309009799, 1204, SURVIVED
309009775, 1204, SURVIVED
309009799, 1209, SURVIVED
309009775, 1209, SURVIVED
309009792, 1204, SURVIVED
309009792, 1209, SURVIVED
309009782, 1204, SURVIVED
309009782, 1209, SURVIVED
309009742, 1204, SURVIVED
309009742, 1209, SURVIVED
309009778, 1209, SURVIVED
309009778, 1204, SURVIVED
309009754, 1204, SURVIVED
309009767, 1204, SURVIVED
309009784, 1204, SURVIVED
309009767, 1209, SURVIVED
309009754, 1209, SURVIVED
309009784, 1209, SURVIVED
309009772, 1204, SURVIVED
309009772, 1209, SURVIVED
309009790, 1204, SURVIVED
309009790, 1209, SURVIVED
