seed, mutant, status
2475216525, 267, SURVIVED
2475216525, 405, SURVIVED
2475216525, 418, SURVIVED
2475216526, 75, SURVIVED
2475216526, 64, SURVIVED
2475216526, 131, SURVIVED
2475216526, 127, SURVIVED
2475216526, 95, SURVIVED
2475216506, 441, SURVIVED
2475216526, 115, SURVIVED
2475216525, 441, SURVIVED
2475216506, 418, SURVIVED
2475216506, 267, SURVIVED
2475216526, 68, SURVIVED
2475216526, 83, SURVIVED
2475216526, 108, SURVIVED
2475216526, 21, SURVIVED
2475216526, 53, SURVIVED
2475216526, 123, SURVIVED
2475216526, 103, SURVIVED
2475216526, 34, SURVIVED
2475216526, 136, SURVIVED
2475216506, 405, SURVIVED
2475216526, 106, SURVIVED
2475216526, 2, SURVIVED
2475216526, 71, SURVIVED
2475216526, 61, SURVIVED
2475216526, 96, SURVIVED
2475216526, 76, SURVIVED
2475216526, 9, SURVIVED
2475216526, 74, SURVIVED
2475216526, 107, SURVIVED
2475216526, 276, SURVIVED
2475216526, 405, SURVIVED
2475216526, 267, SURVIVED
2475216526, 441, SURVIVED
2475216526, 418, SURVIVED
2475216526, 275, SURVIVED
2475216526, 163, SURVIVED
2475216526, 138, SURVIVED
2475216557, 441, SURVIVED
2475216557, 405, SURVIVED
2475216557, 418, SURVIVED
2475216557, 267, SURVIVED
2475216502, 267, SURVIVED
2475216502, 386, SURVIVED
2475216502, 405, SURVIVED
2475216502, 385, SURVIVED
2475216513, 53, SURVIVED
2475216502, 441, SURVIVED
2475216502, 389, SURVIVED
2475216502, 418, SURVIVED
2475216513, 2, SURVIVED
2475216513, 9, SURVIVED
2475216513, 34, SURVIVED
2475216513, 71, SURVIVED
2475216513, 68, SURVIVED
2475216513, 74, SURVIVED
2475216513, 21, SURVIVED
2475216513, 83, SURVIVED
2475216513, 64, SURVIVED
2475216513, 95, SURVIVED
2475216513, 75, SURVIVED
2475216513, 106, SURVIVED
2475216513, 123, SURVIVED
2475216513, 127, SURVIVED
2475216513, 107, SURVIVED
2475216513, 108, SURVIVED
2475216513, 115, SURVIVED
2475216513, 138, SURVIVED
2475216513, 103, SURVIVED
2475216513, 96, SURVIVED
2475216513, 61, SURVIVED
2475216513, 76, SURVIVED
2475216513, 131, SURVIVED
2475216513, 136, SURVIVED
2475216513, 163, SURVIVED
2475216513, 267, SURVIVED
2475216513, 275, SURVIVED
2475216513, 276, SURVIVED
2475216513, 441, SURVIVED
2475216513, 418, SURVIVED
2475216513, 405, SURVIVED
2475216515, 267, SURVIVED
2475216515, 418, SURVIVED
2475216515, 405, SURVIVED
2475216529, 418, SURVIVED
2475216529, 386, SURVIVED
2475216515, 441, SURVIVED
2475216529, 397, SURVIVED
2475216529, 267, SURVIVED
2475216529, 398, SURVIVED
2475216529, 385, SURVIVED
2475216529, 401, SURVIVED
2475216529, 405, SURVIVED
2475216529, 433, SURVIVED
2475216529, 389, SURVIVED
2475216538, 385, SURVIVED
2475216529, 437, SURVIVED
2475216529, 441, SURVIVED
2475216538, 267, SURVIVED
2475216538, 401, SURVIVED
2475216529, 425, SURVIVED
2475216538, 386, SURVIVED
2475216538, 389, SURVIVED
2475216529, 421, SURVIVED
2475216538, 397, SURVIVED
2475216538, 398, SURVIVED
2475216570, 2, SURVIVED
2475216570, 9, SURVIVED
2475216570, 21, SURVIVED
2475216570, 34, SURVIVED
2475216570, 53, SURVIVED
2475216570, 61, SURVIVED
2475216570, 64, SURVIVED
2475216570, 68, SURVIVED
2475216570, 71, SURVIVED
2475216570, 74, SURVIVED
2475216570, 75, SURVIVED
2475216570, 76, SURVIVED
2475216570, 83, SURVIVED
2475216570, 95, SURVIVED
2475216570, 96, SURVIVED
2475216570, 103, SURVIVED
2475216570, 106, SURVIVED
2475216570, 107, SURVIVED
2475216570, 108, SURVIVED
2475216570, 115, SURVIVED
2475216570, 123, SURVIVED
2475216570, 127, SURVIVED
2475216570, 131, SURVIVED
2475216570, 136, SURVIVED
2475216570, 138, SURVIVED
2475216570, 163, SURVIVED
2475216570, 275, SURVIVED
2475216570, 276, SURVIVED
2475216570, 405, SURVIVED
2475216570, 418, SURVIVED
2475216570, 441, SURVIVED
2475216538, 421, SURVIVED
2475216538, 405, SURVIVED
2475216538, 418, SURVIVED
2475216538, 437, SURVIVED
2475216538, 433, SURVIVED
2475216538, 425, SURVIVED
2475216538, 441, SURVIVED
2475216503, 386, SURVIVED
2475216503, 267, SURVIVED
2475216501, 437, SURVIVED
2475216503, 389, SURVIVED
2475216503, 385, SURVIVED
2475216501, 267, SURVIVED
2475216503, 405, SURVIVED
2475216501, 441, SURVIVED
2475216501, 389, SURVIVED
2475216503, 418, SURVIVED
2475216501, 385, SURVIVED
2475216501, 405, SURVIVED
2475216501, 386, SURVIVED
2475216503, 441, SURVIVED
2475216501, 418, SURVIVED
2475216501, 433, SURVIVED
2475216505, 386, SURVIVED
2475216514, 267, SURVIVED
2475216505, 267, SURVIVED
2475216514, 441, SURVIVED
2475216505, 385, SURVIVED
2475216505, 398, SURVIVED
2475216514, 405, SURVIVED
2475216505, 389, SURVIVED
2475216514, 418, SURVIVED
2475216505, 397, SURVIVED
2475216505, 421, SURVIVED
2475216505, 418, SURVIVED
2475216505, 401, SURVIVED
2475216505, 425, SURVIVED
2475216505, 405, SURVIVED
2475216505, 433, SURVIVED
2475216505, 441, SURVIVED
2475216505, 437, SURVIVED
2475216508, 418, SURVIVED
2475216508, 267, SURVIVED
2475216508, 405, SURVIVED
2475216508, 441, SURVIVED
2475216500, 405, SURVIVED
2475216500, 267, SURVIVED
2475216500, 441, SURVIVED
2475216500, 418, SURVIVED
2475216517, 441, SURVIVED
2475216511, 267, SURVIVED
2475216517, 267, SURVIVED
2475216517, 405, SURVIVED
2475216517, 418, SURVIVED
2475216511, 385, SURVIVED
2475216546, 2, SURVIVED
2475216546, 9, SURVIVED
2475216546, 21, SURVIVED
2475216546, 34, SURVIVED
2475216511, 389, SURVIVED
2475216546, 53, SURVIVED
2475216511, 398, SURVIVED
2475216511, 418, SURVIVED
2475216511, 386, SURVIVED
2475216511, 397, SURVIVED
2475216546, 61, SURVIVED
2475216516, 267, SURVIVED
2475216511, 425, SURVIVED
2475216511, 405, SURVIVED
2475216511, 401, SURVIVED
2475216511, 421, SURVIVED
2475216546, 64, SURVIVED
2475216546, 68, SURVIVED
2475216511, 433, SURVIVED
2475216511, 437, SURVIVED
2475216516, 385, SURVIVED
2475216546, 71, SURVIVED
2475216546, 74, SURVIVED
2475216516, 386, SURVIVED
2475216511, 441, SURVIVED
2475216546, 75, SURVIVED
2475216546, 76, SURVIVED
2475216546, 83, SURVIVED
2475216546, 96, SURVIVED
2475216546, 95, SURVIVED
2475216546, 103, SURVIVED
2475216546, 106, SURVIVED
2475216546, 107, SURVIVED
2475216546, 108, SURVIVED
2475216546, 115, SURVIVED
2475216546, 123, SURVIVED
2475216546, 136, SURVIVED
2475216546, 131, SURVIVED
2475216546, 127, SURVIVED
2475216549, 2, SURVIVED
2475216546, 138, SURVIVED
