seed, mutant, status
3395076905, 4749, SURVIVED
3395076905, 4798, SURVIVED
3395076905, 4750, SURVIVED
3395076905, 4770, SURVIVED
3395076905, 3457, SURVIVED
3395076905, 3614, SURVIVED
3395076905, 3646, SURVIVED
3395076905, 666, SURVIVED
3395076905, 657, SURVIVED
3395076905, 3574, SURVIVED
3395076905, 4785, SURVIVED
3395076905, 3543, SURVIVED
3395076905, 608, SURVIVED
3395076905, 4776, SURVIVED
3395076905, 4787, SURVIVED
3395076905, 4763, SURVIVED
3395076905, 6389, SURVIVED
3395076905, 4786, SURVIVED
3395076905, 4755, SURVIVED
3395076905, 4795, SURVIVED
3395076905, 576, SURVIVED
3395076905, 3573, SURVIVED
3395076905, 3542, SURVIVED
3395076905, 8318, SURVIVED
3395076905, 4782, SURVIVED
3395076905, 4781, SURVIVED
3395076905, 3453, SURVIVED
3395076905, 3570, SURVIVED
3395076905, 3465, SURVIVED
3395076905, 482, SURVIVED
3395076905, 3584, SURVIVED
3395076905, 3571, SURVIVED
3395076905, 6464, SURVIVED
3395076903, 3457, SURVIVED
3395076903, 666, SURVIVED
3395076903, 3453, SURVIVED
3395076903, 482, SURVIVED
3395076903, 3543, SURVIVED
3395076903, 3465, SURVIVED
3395076903, 657, SURVIVED
3395076903, 3570, SURVIVED
3395076903, 3574, SURVIVED
3395076903, 3573, SURVIVED
3395076903, 3584, SURVIVED
3395076903, 8318, SURVIVED
3395076903, 3571, SURVIVED
3395076903, 3542, SURVIVED
3395076905, 6465, SURVIVED
3395076905, 6515, SURVIVED
3395076905, 6524, SURVIVED
3395076905, 6569, SURVIVED
3395076905, 6699, SURVIVED
3395076905, 6500, SURVIVED
3395076905, 7051, SURVIVED
3395076905, 6578, SURVIVED
3395076905, 7050, SURVIVED
3395076905, 7056, SURVIVED
3395076905, 6667, SURVIVED
3395076905, 7054, SURVIVED
3395076905, 7052, SURVIVED
3395076905, 7057, SURVIVED
3395076905, 7055, SURVIVED
3395076905, 7053, SURVIVED
3395076905, 7058, SURVIVED
3395076903, 3614, SURVIVED
3395076903, 3646, SURVIVED
3395076903, 4351, SURVIVED
3395076903, 4140, SURVIVED
3395076903, 4319, SURVIVED
3395076903, 4139, SURVIVED
3395076903, 4585, SURVIVED
3395076903, 4553, SURVIVED
3395076903, 4662, SURVIVED
3395076903, 4697, SURVIVED
3395076903, 4738, SURVIVED
3395076903, 4740, SURVIVED
3395076903, 4693, SURVIVED
3395076903, 4725, SURVIVED
3395076903, 4729, SURVIVED
3395076903, 5177, SURVIVED
3395076903, 5211, SURVIVED
3395076903, 5202, SURVIVED
3395076903, 5214, SURVIVED
3395076903, 5215, SURVIVED
3395076903, 5213, SURVIVED
3395076903, 5212, SURVIVED
3395076903, 5234, SURVIVED
3395076903, 5244, SURVIVED
3395076903, 5267, SURVIVED
3395076903, 5245, SURVIVED
3395076903, 5246, SURVIVED
3395076903, 5247, SURVIVED
3395076903, 5243, SURVIVED
3395076903, 5266, SURVIVED
3395076903, 5298, SURVIVED
3395076903, 5299, SURVIVED
3395076903, 5383, SURVIVED
3395076903, 5384, SURVIVED
3395076903, 5385, SURVIVED
3395076903, 5390, SURVIVED
3395076903, 5387, SURVIVED
3395076903, 5386, SURVIVED
3395076903, 5396, SURVIVED
3395076903, 5388, SURVIVED
3395076903, 7051, SURVIVED
3395076903, 7053, SURVIVED
3395076903, 7054, SURVIVED
3395076903, 7050, SURVIVED
3395076903, 7058, SURVIVED
3395076903, 6699, SURVIVED
3395076903, 7056, SURVIVED
3395076903, 6667, SURVIVED
3395076903, 6578, SURVIVED
3395076903, 7057, SURVIVED
3395076903, 7055, SURVIVED
3395076903, 7052, SURVIVED
