seed, mutant, status
1131279884, 10384, SURVIVED
1131279884, 10402, SURVIVED
1131279884, 10339, SURVIVED
1131279884, 10388, SURVIVED
1131279884, 10391, SURVIVED
1131279884, 10403, SURVIVED
1131279884, 10366, SURVIVED
1131279884, 10333, SURVIVED
1131279884, 10324, SURVIVED
1131279884, 10320, SURVIVED
1131279884, 10365, SURVIVED
1131279884, 10371, SURVIVED
1131279884, 10368, SURVIVED
1131279884, 10400, SURVIVED
1131279884, 10372, SURVIVED
1131279884, 10374, SURVIVED
1131279884, 10385, SURVIVED
1131279884, 10399, SURVIVED
1131279884, 10334, SURVIVED
1131279884, 10356, SURVIVED
1131279884, 10367, SURVIVED
1131279884, 10335, SURVIVED
1131279884, 10390, SURVIVED
1131279884, 10387, SURVIVED
1131279884, 10329, SURVIVED
1131279884, 10352, SURVIVED
1131279884, 10373, SURVIVED
1131279884, 10389, SURVIVED
1131279884, 10370, SURVIVED
1131279884, 10381, SURVIVED
1131279884, 10307, SURVIVED
1131279884, 10361, SURVIVED
1131279884, 10413, SURVIVED
1131279884, 10404, SURVIVED
1131279884, 10422, SURVIVED
1131279884, 10419, SURVIVED
1131279884, 10406, SURVIVED
1131279884, 10405, SURVIVED
1131279884, 10417, SURVIVED
1131279884, 10423, SURVIVED
1131279884, 10434, SURVIVED
1131279884, 10416, SURVIVED
1131279884, 10421, SURVIVED
1131279884, 10420, SURVIVED
1131279884, 3111, SURVIVED
1131279884, 3177, SURVIVED
1131279884, 10436, SURVIVED
1131279884, 3425, SURVIVED
1131279884, 3194, SURVIVED
1131279884, 10445, SURVIVED
1131279884, 10431, SURVIVED
1131279884, 3384, SURVIVED
1131279884, 3429, SURVIVED
1131279884, 3352, SURVIVED
1131279884, 3397, SURVIVED
1131279884, 3393, SURVIVED
1131279884, 10441, SURVIVED
1131279884, 3173, SURVIVED
1131279884, 3162, SURVIVED
1131279884, 10437, SURVIVED
1131279884, 3356, SURVIVED
1131279884, 3446, SURVIVED
1131279884, 3388, SURVIVED
1131279884, 3442, SURVIVED
1131279884, 3418, SURVIVED
1131279884, 3450, SURVIVED
1131279863, 10339, SURVIVED
1131279863, 10334, SURVIVED
1131279863, 10320, SURVIVED
1131279863, 10329, SURVIVED
1131279863, 10324, SURVIVED
1131279863, 10335, SURVIVED
1131279863, 10307, SURVIVED
1131279863, 10356, SURVIVED
1131279863, 10361, SURVIVED
1131279863, 10333, SURVIVED
1131279863, 10352, SURVIVED
1131279863, 10365, SURVIVED
1131279863, 10368, SURVIVED
1131279863, 10367, SURVIVED
1131279863, 10370, SURVIVED
1131279863, 10366, SURVIVED
1131279863, 10371, SURVIVED
1131279863, 10372, SURVIVED
1131279863, 10387, SURVIVED
1131279863, 10400, SURVIVED
1131279863, 10381, SURVIVED
1131279863, 10399, SURVIVED
1131279863, 10385, SURVIVED
1131279863, 10374, SURVIVED
1131279863, 10388, SURVIVED
1131279863, 10389, SURVIVED
1131279863, 10390, SURVIVED
1131279863, 10373, SURVIVED
1131279863, 10384, SURVIVED
1131279863, 10391, SURVIVED
1131279863, 10403, SURVIVED
1131279863, 10402, SURVIVED
1131279863, 10404, SURVIVED
1131279863, 10417, SURVIVED
1131279863, 10405, SURVIVED
1131279863, 10406, SURVIVED
1131279863, 10420, SURVIVED
1131279863, 10413, SURVIVED
1131279863, 10416, SURVIVED
1131279863, 10422, SURVIVED
1131279863, 10419, SURVIVED
1131279863, 10421, SURVIVED
1131279863, 10441, SURVIVED
1131279863, 10423, SURVIVED
1131279863, 10431, SURVIVED
1131279863, 10434, SURVIVED
1131279863, 10436, SURVIVED
1131279863, 10445, SURVIVED
1131279863, 10437, SURVIVED
1131279863, 3177, SURVIVED
1131279863, 3356, SURVIVED
1131279863, 3352, SURVIVED
1131279863, 3173, SURVIVED
1131279863, 3111, SURVIVED
1131279863, 3162, SURVIVED
1131279863, 3384, SURVIVED
1131279863, 3194, SURVIVED
1131279863, 3393, SURVIVED
1131279863, 3388, SURVIVED
1131279863, 3397, SURVIVED
1131279863, 3418, SURVIVED
1131279863, 3425, SURVIVED
1131279863, 3429, SURVIVED
1131279863, 3442, SURVIVED
1131279863, 3450, SURVIVED
1131279863, 3446, SURVIVED
1131279890, 8202, SURVIVED
1131279890, 11441, SURVIVED
1131279890, 11420, SURVIVED
1131279890, 11488, SURVIVED
1131279890, 10436, SURVIVED
1131279890, 11452, SURVIVED
1131279890, 11489, SURVIVED
1131279890, 9704, SURVIVED
1131279890, 9707, SURVIVED
1131279890, 1289, SURVIVED
1131279890, 1815, SURVIVED
1131279890, 1816, SURVIVED
1131279890, 1830, SURVIVED
1131279890, 1801, SURVIVED
1131279890, 1803, SURVIVED
1131279890, 1802, SURVIVED
1131279890, 1820, SURVIVED
1131279890, 1831, SURVIVED
1131279890, 1822, SURVIVED
1131279890, 1833, SURVIVED
1131279890, 1819, SURVIVED
